計畫名稱,class,關鍵詞,NER
行政院跨領域科技管理人才在職培訓發展計畫(2/4),2,"['顧問組', '碩士', '學位', '博士', '談判班']","['經濟部', '行政院', '4年', '102年度']"
人文及社會科學期刊引文索引資料庫系統建置計畫(4/4),2,"['科政', '資料庫', '期刊', '索引', '來源', '專書', '博士', '引文']","['港', '4年', '國圖', '國圖', '澳', '102年', '104年', '103年', '國研院科政中心', '國科會人文處/國研院', '臺']"
基礎語文及多元文化能力培育計畫(1/4),2,"['英文', '外語', '語文', '影響力', '敘事力', '語境', '文學', '脈絡', '特質']","['以', '中文', '中文', '英文', '日', '英文', '英文', '第二', '第二', '法', '西', '第二', '德', '中文', '英文']"
人文社會科學基礎及跨界應用能力培育計畫(1/4),2,"['社科', '高中生', '高中', '原創性', '博士', '論文', '專書', '影響力', '師生']","['歐美', '1年', '臺灣']"
科學人文跨科際人才培育-大學跨領域溝通能力養成計畫(4/4),2,"['研究型', '課群', '學程', '中學', '研習營', '師生']",[]
校園學術倫理教育與機制發展計畫(2/4),2,"['倫理', '大專校院', '師生']","['臺灣', '臺灣學術倫理教育推廣資源中心']"
科專政策研究及管理綱要計畫(1/4),2,"['政策面', '策略面', '預算', '規劃面', '鏈結面', '綜效']","['日', '日']"
科技計畫規劃與管理計畫(2/4),2,['收支'],['前一年度']
生物技術研發成果產業化輔導計畫(2/4),2,['說明會'],['經濟部工業局']
優化中小企業科技加值應用環境之策略佈局計畫(2/4),2,"['政策面', '策略面', '中長期', '中小企業處', '預算', '提案']",['103~105年度']
國立中科實驗高級中學維運計畫(1/1),2,"['中科', '中學', '高中部', '國中部', '雙語部', '籌備處', '資源班']","['教育部', '108年8月', '99年5月3日', '99年8月1日', '98年8月6日', '101-103年', '教育部', '中科', '教育部', '101年', '國小部', '台中縣汝鎏國小', '98年8月31日', '104年', '98年8月1日', '104-108年', '104-105年', '99年9月至103年']"
推動前瞻及應用科技研究計畫(2/4),2,"['途徑', '原創性']","['台灣', '國科會']"
國立中科實驗高級中學國中部校舍興建計畫(2/3),2,"['中科', '中學', '高中部', '國中部']","['99年8月1日', '103年11月至105年3月', '103年11月', '中科', '教育部', '陳國祥', '99年8月1日', '105年', '105年8月', '99年\n5月3日', '98年8月6日', '103年3月度', '教育部']"
高瞻計畫：高中、職新興科技課程研發與推廣(5/5),2,['素養'],"['第一', '第二', '高瞻', '高瞻', '高瞻', '高瞻', '高瞻', '高瞻']"
「高科技設備前瞻技術發展計畫」第二期計畫(3/4),2,['科學園區'],"['10%', '1', '10%']"
人文及社會科學研究發展計畫(1/4),2,"['倫理', '專書', '期刊', '原住民', '部落']","['臺灣', '華文', '台南科學工業園區', '台灣']"
科學教育研究發展及推動國際科技合作(1/1),2,"['數學', '素養', '原住民', '興趣']","['兩岸', '以', '兩岸', '兩岸', '大陸', '台', '兩岸', '歐', '美', '大陸', '亞']"
規劃考核及獎補助綜合業務(1/1),2,"['軍事', '專長', '大專', '倫理', '創作獎', '同仁', '總統', '科學獎', '貢獻獎', '研究獎']","['行政院', '104年度']"
自由型卓越學研及百人拓荒專案計畫(2/4),2,"['自由型', '卓越學', '突破性', '本案', '構想', '創新性']","['3億/年', '0.85億/年', '第一年']"
生物、醫、農科學研究發展綱要計畫(1/1),2,"['自由型', '突破性', '期刊', '突破']",[]
培育優秀學者養成計畫(1/4),2,"['自由型', '博士', '菁英']","['台灣', '45歲']"
科普傳播產學計畫(1/1),2,['本地'],"['國科會', '1000萬元', '500萬元', '民視', '9000萬元', '科技部', '台灣', '台灣']"
神經科學研究計畫(4/6),2,['地位'],"['101年度', '六年']"
研發環境綜合整備及科技行政協調管理(1/1),2,"['時效性', '期間', '基金', '預算']","['行政院', '行政院', '立法院']"
學術攻頂研究計畫(1/1),2,"['期間', '數學', '主持人']","['新台幣2,000萬元', '10年', '諾貝爾獎']"
研發成果推廣及科學園區業務推動計畫(1/1),2,"['科學園區', '基金', '收支', '作為']",[]
國立科學工業園區實驗高級中學校舍銜接通道整建暨創意學習計畫工程(1/1),2,[],"['十二年', '教育部', '教育部']"
私立大學校院發展研發特色專案計畫(3/4),2,"['大專校院', '大專', '主持人', '配合款', '期間']","['三年', '68%', '前兩個月', '101學年度', '各年', '101學年度', '百分之二十', '五年', '三個月', '61%']"
補助大專校院延攬及獎勵特殊優秀人才措施(1/4),2,"['大專校院', '大專', '編制']","['行政院', '行政院', '本部']"
具時效性科技政策及科技策略會議結論落實推動計畫(1/1),2,"['時效性', '科發', '基金', '預算']","['行政院', '行政院']"
國家型科技計畫前瞻應用、學研(產)橋接與國際合作計畫(1/1),2,['突破'],[]
科技發展趨勢分析與資訊服務計畫(1/4),2,['中長期'],[]
財團法人國家實驗研究院發展計畫(2/4),2,['綜效'],[]
行政院跨領域科技管理人才在職培訓發展計畫(3/4),2,"['顧問組', '國際人']","['經濟部', '4年為期', '行政院', '102年']"
國家圖書館學術性引用文獻資料擴增建置計畫(1/4),2,"['引文', '專書', '博士', '論文', '期刊', '期間', '書目', '動學術']","['105 -108年', '1990年', '4年期間', '105至108年', '華人', '臺灣']"
人文社會科學基礎及跨界應用能力培育計畫(2/4),2,"['社科', '高中', '博士', '論文', '專書', '論文集', '原創性', '影響力']","['臺灣', '1年']"
校園學術倫理教育與機制發展計畫(3/4),2,"['倫理', '大專校院', '師生']","['臺灣', '臺灣學術倫理教育中心']"
基礎語文及多元文化能力培育計畫(2/4),2,"['英文', '外語', '語文', '影響力', '敘事力', '語境', '文學', '脈絡', '特質']","['西', '中文', '中文', '英文', '第二', '英文', '英文', '英文', '第二', '法', '第二', '德', '中文', '日']"
人文社會領域高階菁英人才培育計畫(1/1),2,"['菁英', '論文', '學位', '學程']","['兩年', '教育部', '教育部', '5％', '第三年', '科技部', '教育部', '第四']"
科專政策研究及管理綱要計畫(2/4),2,"['政策面', '策略面', '預算', '整體性', '規劃面', '鏈結面']",[]
科技計畫規劃與管理計畫(3/4),2,"['科發', '基金', '收支', '說明會', '預算']",[]
優化中小企業科技加值應用環境之策略佈局計畫(3/4),2,"['中小企業處', '中長期', '提案']",[]
「高科技設備前瞻技術發展計畫」第二期計畫(4/4),2,['科學園區'],"['5%', '10%']"
自由型卓越學研及百人拓荒專案計畫(3/4),2,"['自由型', '本案', '突破性', '構想書', '構想', '創新性']",['第一年']
規劃考核及獎補助綜合業務(1/1),2,"['預算', '科發', '基金', '培力', '軍事', '專長', '大專', '倫理', '創作獎', '貢獻獎', '研究獎']","['吳大猷', '行政院', '行政院', '立法院', '年度', '105年度']"
研發環境綜合整備及科技行政協調管理(1/1),2,"['時效性', '期間', '基金', '預算', '大樓']","['行政院', '立法院', '行政院', '陳', '行政院']"
推動前瞻及應用科技研究計畫(3/4),2,"['途徑', '原創性']",['台灣']
科學教育研究發展及推動國際科技合作(1/1),2,"['數學', '素養', '原住民', '興趣']","['兩岸', '兩岸', '兩岸', '以', '大陸', '歐', '臺', '兩岸', '美', '大陸', '亞']"
學術攻頂研究計畫(1/1),2,"['期間', '數學', '主持人']","['新台幣2,000萬元', '10年', '諾貝爾獎']"
國立中科實驗高級中學維運計畫(1/1),2,"['中科', '中學', '高中部', '國中部', '雙語部', '籌備處', '資源班']","['99年5月3日', '99年', '中科', '98年8月1日', '98年8月31日', '98年8月6日', '教育部', '101年', '教育部', '台中市', '105-107年', '中科', '教育部', '99年8月1日', '汝鎏國小']"
人文及社會科學研究發展計畫(1/1),2,"['期刊', '地位', '專書', '倫理', '原住民', '部落']","['臺灣', '台灣', '臺灣', '華文', '臺南科學工業園區']"
培育優秀學者養成計畫(2/4),2,['博士'],['台灣']
國立中科實驗高級中學國中部校舍興建計畫(3/3),2,"['中科', '中學', '高中部', '國中部']","['99年5月3日', '中科', '105年', '教育部', '103年3月度', '103年12月', '98年8月6日', '105年8月', '99年8月1日', '103年12月至105年7月', '教育部', '陳國祥', '99年8月1日']"
生物、醫、農科學研究發展綱要計畫(1/1),2,"['自由型', '突破性', '期刊', '突破']",[]
私立大學校院發展研發特色專案計畫(4/4),2,"['大專校院', '大專', '主持人', '配合款', '期間']","['百分之二十', '68%', '三個月', '101學年度', '101學年度', '前兩個月', '五年', '61%', '三年']"
學界研發成果產業化推動計畫(1/4),2,[],[]
補助大專校院延攬及獎勵特殊優秀人才措施(2/4),2,"['大專校院', '大專', '編制']","['行政院', '行政院', '本部']"
具時效性科技政策及科技策略會議結論落實推動計畫(1/1),2,"['時效性', '科發', '基金', '預算']","['科發基金管理會', '行政院', '行政院', '科發基金管理會', '中華民國', '行政院']"
強化國家型科技計畫研發成果應用之學研產橋接計畫(1/1),2,['突破'],[]
未來優質生活實驗場域規劃與建置計畫(1/1),2,"['集散地', '工商', '大樓']",[]
財團法人國家實驗研究院發展計畫(3/4),2,['綜效'],[]
科技發展趨勢分析與資訊服務計畫(2/4),2,[],['科技部']
行政院跨領域科技管理人才在職培訓發展計畫(4/4),2,"['碩士', '學位', '博士', '顧問組']","['4年', '102年度', '經濟部', '行政院']"
文化科技輔導推動專案計畫(1/4),2,"['科技組', '培力']",[]
校園學術倫理教育與機制發展計畫(4/4),2,"['倫理', '大專校院', '師生']","['臺灣學術倫理教育中心', '臺灣']"
人文社會科學基礎及跨界應用能力培育計畫(3/4),2,"['社科', '高中', '博士', '論文', '專書', '論文集', '原創性', '影響力']","['臺灣', '1年']"
國家圖書館學術性引用文獻資料擴增建置計畫(2/4),2,"['引文', '專書', '博士', '論文', '期刊', '期間']","['105至108年', '4年期間', 'TCI', '101年', '1990年', '105-108年']"
基礎語文及多元文化能力培育計畫(3/4),2,"['英文', '外語', '語文', '影響力', '敘事力', '語境', '文學', '脈絡', '研習營', '特質']","['第二', '法', '中文', '中文', '第二', '英文', '日', '英文', '西', '第二', '英文', '中文', '英文', '德']"
科專政策研究及管理綱要計畫(3/4),2,"['策略面', '預算', '中長期']","['經濟部', '臺灣']"
科技計畫規劃與管理計畫(4/4),2,"['科發', '基金', '收支', '說明會']",['工業局']
優化中小企業科技加值應用環境之策略佈局計畫(4/4),2,['中長期'],[]
推動前瞻及應用科技研究計畫(4/4),2,"['途徑', '原創性']",['台灣']
規劃考核及獎補助綜合業務(1/1),2,"['預算', '科發', '基金', '培力', '大專', '倫理', '創作獎', '總統', '科學獎', '貢獻獎', '研究獎']","['行政院', '立法院', '行政院', '吳大猷', '106年度']"
補助大專校院延攬及獎勵特殊優秀人才措施(3/4),2,"['大專校院', '大專', '編制']","['行政院', '行政院', '本部']"
研發環境綜合整備及科技行政協調管理(1/1),2,"['時效性', '期間', '基金', '預算', '大樓']","['立法院', '行政院', '2.年度', '行政院', '陳', '行政院']"
科學教育研究發展及推動國際科技合作(1/1),2,"['數學', '素養', '原住民', '興趣']","['兩岸', '大陸', '政府', '亞', '以', '兩岸', '美', '兩岸', '教育部', '兩岸', '台', '歐']"
自由型卓越學研及探索研究專案計畫(4/4),2,"['自由型', '本案', '構想書', '構想', '創新性']",['第一年']
學術攻頂研究計畫(1/1),2,"['期間', '數學', '主持人']","['新台幣2,000萬元', '10年', '諾貝爾獎']"
人文及社會科學研究發展計畫(1/1),2,"['期刊', '地位', '專書', '倫理', '原住民', '部落']","['臺灣', '臺南科學工業園區', '臺灣', '華文', '台灣']"
提升私立大學校院發展研發特色專案計畫(1/1),2,"['大專校院', '主持人', '配合款', '期間']","['68%', '五年', '101學年度', '三年', '百分之二十', '前兩個月', '101學年', '61%', '三個月']"
研發成果推廣及科學園區業務推動計畫(1/1),2,"['突破', '科學園區', '基金', '收支', '作為']",[]
培育優秀學者養成計畫(3/4),2,['博士'],"['台灣', '45歲']"
生物、醫、農科學研究發展綱要計畫(1/1),2,"['自由型', '突破性', '期刊', '突破']",[]
學界研發成果產業化推動計畫(2/4),2,[],[]
具時效性科技政策及科技策略會議結論落實推動計畫(1/1),2,"['時效性', '科發', '基金', '主責', '預算', '跨部會署']","['行政院', '中華民國', '中華民國', '行政院', '行政院']"
科技決策支援暨科技計畫專案管理與評估機制推動計畫(1/1),2,"['預算', '專家群']","['行政院', '行政院', '行政院']"
科技發展趨勢分析與資訊服務計畫(1/4),2,"['科政', '影響力', '中長期', '契機']",[]
財團法人國家實驗研究院發展計畫(4/4),2,['綜效'],"['台灣', '國研院', '歐盟', '一', '歐盟']"
國立中科實驗高級中學維運計畫(1/1),2,"['中科', '中學', '高中部', '國中部', '雙語部', '籌備處', '資源班']","['101年', '教育部', '台中市', '98年8月31日', '99年', '99年8月1日', '99年5月3日', '105-107年', '中科', '教育部', '98年8月1日', '教育部', '汝鎏國小', '98年8月6日']"
行政院跨領域科技管理與談判人才培育計畫(1/4),2,['顧問組'],"['行政院', '4年', '106年度', '經濟部']"
文化科技輔導推動專案計畫(2/4),2,"['科技組', '培力']",[]
人文社會科學基礎及跨界應用能力培育計畫(4/4),2,"['社科', '高中', '博士', '論文', '專書', '論文集', '原創性', '影響力']","['臺灣', '1年']"
國家圖書館學術性引用文獻資料擴增建置計畫(3/4),2,"['引文', '專書', '論文', '博士', '期刊', '期間']","['4年期間', '108年度', '1990年', '中國大陸', '105至108年', '105年', '臺灣', '101年', '科技部', '105-108年']"
基礎語文及多元文化能力培育計畫(4/4),2,"['英文', '外語', '語文', '影響力', '敘事力', '語境', '文學', '脈絡', '研習營', '特質']","['第二', '法', '中文', '中文', '英文', '日', '英文', '西', '第二', '英文', '第二', '中文', '英文', '德']"
科專政策研究及管理綱要計畫(4/4),2,[],"['德', 'APEC', '芬', '臺', '臺', '臺歐盟', '日', '臺', '日方']"
規劃考核及獎補助綜合業務(1/1),2,"['預算', '科發', '基金', '培力', '大專', '創作獎', '貢獻獎', '研究獎']","['立法院', '行政院', '107年度', '吳大猷']"
學術攻頂研究計畫(1/1),2,"['期間', '數學', '主持人']","['新台幣2,000萬元', '10年']"
補助大專校院延攬及獎勵特殊優秀人才措施(4/4),2,['大專校院'],"['行政院', '行政院', '本部']"
研發環境綜合整備及科技行政協調管理(1/1),2,"['時效性', '期間', '基金', '預算', '大樓', '倫理']","['立法院', '行政院', '2.年度', '行政院', '陳', '行政院']"
自由型卓越學研及探索研究專案計畫(1/4),2,"['自由型', '本案', '構想書', '構想', '創新性']",['第一年']
提升私立大學校院發展研發特色專案計畫(1/1),2,"['大專校院', '大專', '主持人', '配合款', '期間']","['三個月', '59.33%', '三年', '五年', '105學年度', '66.57%', '百分之二十', '前兩個月']"
培育優秀學者養成計畫(4/4),2,"['博士', '創新性', '數學']","['台灣', '45歲以下', '45歲以下', '本年', '3至5年']"
推動創新及應用科技研究計畫(1/4),2,"['前瞻司', '中長期']",[]
生物、醫、農科學研究發展綱要計畫(1/1),2,"['自由型', '突破性', '期刊']",[]
研發成果推廣及科學園區業務推動計畫 (1/1),2,"['突破', '科學園區', '基金', '收支', '作為']",[]
人文及社會科學研究發展計畫(1/1),2,"['資料庫', '專書']","['臺灣', '臺灣', '南亞']"
科學教育研究發展及推動國際科技合作(1/1),2,"['數學', '原住民', '中學', '高中', '興趣', '素養']","['高瞻', '兩岸', '臺', '兩岸', '教育部', '兩岸', '大陸', '大陸', '兩岸', '第3']"
年輕學者養成計畫(1/4),2,"['菁英', '影響力']","['新臺幣1,000萬元', '32歲', '新臺幣500萬元', '35歲', '臺灣']"
具時效性科技政策及科技策略會議結論推動落實計畫(1/1),2,"['時效性', '科發', '基金', '主責', '預算', '跨部會署']","['行政院', '中華民國', '行政院', '行政院', '中華民國']"
科技顧問及產業策略會議推動計畫(1/1),2,[],[]
科技政策研究與資訊服務計畫(1/4),2,['科政'],['科技部']
財團法人國家實驗研究院發展計畫(1/4),2,"['預算', '綜效']","['台灣', '1', '國研院', '台灣', '台']"
國立中科實驗高級中學維運計畫(1/1),2,"['中科', '中學', '高中部', '國中部', '雙語部', '籌備處', '資源班']","['101年', '教育部', '台中市', '98年8月31日', '99年', '99年8月1日', '99年5月3日', '105-107年', '中科', '教育部', '98年8月1日', '教育部', '汝鎏國小', '98年8月6日']"
科技發展政策研究與諮詢(1/1),2,[],"['行政院', '政府', '行政院']"
文化科技輔導推動專案計畫(3/4),2,"['文化科', '決議', '科技組', '政策面', '培力']",[]
議題導向跨領域敘事力培育計畫(1/4),2,"['素養', '敘事力', '院校', '師生', '培力']",[]
國家圖書館學術性引用文獻資料擴增建置計畫(4/4),2,"['引文', '專書', '論文', '博士', '期刊', '期間']","['105年', '科技部', '臺灣', '105至108年', '4年期間', '中國大陸', '1990年', '101年', '108年度', '105-108年']"
科專政策研究及管理綱要計畫(1/4),2,[],"['臺德', '臺歐盟', '臺西', '臺芬']"
規劃考核及獎補助綜合業務(1/1),2,"['預算', '培力', '大專', '創作獎', '總統', '科學獎', '貢獻獎', '研究獎', '主持人']","['立法院', '行政院', '立法院', '吳大猷', '行政院', '行政院']"
年輕學者養成計畫(2/3),2,"['菁英', '影響力', '資格', '博士', '學位']","['哥倫布', '35歲', '新臺幣500萬元', '32歲', '107年', '3年', '2~8年', '32歲以下', '38歲以下', '新臺幣1,000萬元', '35歲以下', '愛因斯坦', '臺灣']"
學術攻頂研究計畫(1/1),2,"['期間', '數學', '主持人', '自由型', '本案', '構想']","['新台幣2,000萬元', '10年期間', '行政院', '5年']"
補助大專校院獎勵及延攬特殊優秀人才措施(1/4),2,['大專校院'],"['行政院', '行政院']"
推動科學發展及國際科技合作計畫(1/1),2,"['契機', '高中', '素養']","['兩岸', '台', '兩岸', '高瞻', '東南亞', '大陸', '第三']"
生物、醫、農科學研究發展綱要計畫(1/1),2,"['自由型', '突破性', '期刊']",[]
人文及社會科學研究發展計畫(1/1),2,['專書'],['臺灣']
培育優秀學者養成計畫(1/4),2,"['數學', '菁英', '創新性']","['45歲以下', '科技部', '台灣', '106年度', '45歲以下', '3至5年']"
學界研發成果產業化推動計畫(4/4),2,[],[]
研發環境綜合整備及科技行政協調管理(1/1),2,"['時效性', '期間', '基金', '預算', '大樓', '倫理']","['立法院', '2.年度', '行政院', '行政院', '行政院']"
推動創新及應用科技研究計畫(2/4),2,['前瞻司'],[]
台灣腦科技發展及國際躍升計畫(1/4),2,"['大腦', '訊號', '解訊', '美國']","['台灣', '法國', '以色列', '美國']"
領袖學者助攻計畫(1/2),2,"['聲望', '突破性', '影響力']",[]
具時效性科技政策及科技策略會議結論推動落實計畫(1/1),2,"['時效性', '科發', '基金', '主責', '預算', '跨部會署']","['行政院', '中華民國', '行政院', '行政院', '中華民國']"
科技政策研究與資訊服務計畫(1/1),2,"['地位', '博士']",[]
國立中科實驗高級中學維運計畫(1/1),2,"['中科', '中學', '高中部', '國中部', '雙語部', '籌備處', '資源班']","['99年5月3日', '99年', '中科', '98年8月1日', '98年8月31日', '98年8月6日', '教育部', '101年', '教育部', '台中市', '105-107年', '中科', '教育部', '99年8月1日', '汝鎏國小']"
科技發展政策研究與諮詢(1/1),2,['預算'],"['科技會報辦公室', '行政院', '行政院', '1,100億元', '行政院', '110年度', '行政院', '第28', '政府', '第27']"
文化科技輔導推動專案計畫(1/1),2,"['決議', '政策面', '培力']",[]
國家圖書館人文社會學術性引用文獻資料擴增建置計畫(1/4),2,"['引文', '期刊', '博士', '論文', '專書']","['臺灣', '1980年', '109-112年', '101年', '109至112年', '1970年', '1990年']"
議題導向跨領域敘事力培育計畫(2/4),2,"['素養', '敘事力', '培力']",[]
創新產業科技政策與國際合作規劃管理綱要計畫(2/4),2,"['鏈結科', '發體', '供給端', '需求端', '結點', '預算']",['108年度']
科技部補助大專校院研究獎勵作業計畫(1/1),2,['大專校院'],['行政院']
台灣腦科技發展及國際躍升計畫(2/4),2,"['大腦', '解析', '訊號', '解訊', '美國']","['法國', '美國', '以色列']"
推動科學發展及國際合作專案計畫(1/1),2,['素養'],"['兩岸', '大陸', '兩岸', '兩岸']"
推動創新及應用科技研究計畫(3/4),2,['前瞻司'],[]
研發環境綜合整備及科技行政協調管理(1/1),2,"['臨時性', '時效性', '基金']",[]
基礎科學研究計畫(1/1),2,"['大專', '綜效', '長短期']",['109年度']
領袖學者助攻計畫(2/2),2,"['聲望', '突破性', '影響力']",[]
年輕學者養成計畫(3/3),2,"['菁英', '影響力', '資格', '博士', '學位']","['哥倫布', '35歲', '新臺幣500萬元', '32歲', '107年', '3年', '2~8年', '32歲以下', '38歲以下', '新臺幣1,000萬元', '35歲以下', '愛因斯坦', '臺灣']"
具時效性科技政策及科技策略會議結論推動落實計畫(1/1),2,"['時效性', '科發', '基金', '主責', '預算', '跨部會署']","['行政院', '科發基金管理會', '中華民國', '中華民國', '行政院', '行政院']"
科技會報跨部會署科發基金計畫(1/1),2,['件數'],['行政院']
基礎科學研究計畫-國家實驗研究院(1/4),2,['綜效'],['國研院']
園區實驗高級中學業務推展計畫(1/1),2,"['科學園區', '雙語部', '雙語', '高中']",[]
科技發展政策研究與諮詢(1/1),2,"['預算', '美國']","['美國', '科技部', '行政院', '行政院', '行政院', '行政院', '行政院', '第28', '第27']"
議題導向跨領域敘事力培育計畫(3/4),2,"['素養', '敘事力', '培力']",[]
國家圖書館人文社會學術性引用文獻資料擴增建置計畫(2/4),2,"['引文', '索引', '期刊', '專書', '論文', '博士', '書目', '影響力']","['華文', '華文', '臺灣', '華文', '臺灣', '臺灣']"
創新產業科技政策與國際合作規劃管理綱要計畫(3/4),2,['預算'],"['行政院', '本年度', '109年']"
研發環境綜合整備及科技行政協調管理(1/1),2,"['臨時性', '時效性', '整體性', '基金', '倫理']","['行政院', '行政院']"
推動科學發展及國際合作專案計畫(1/1),2,['素養'],"['兩岸', '大陸', '兩岸']"
台灣腦科技發展及國際躍升計畫(3/4),2,"['大腦', '解析', '訊號', '解訊', '美國']","['以色列', '法國', '美國']"
科技部補助大專校院延攬及獎勵特殊優秀人才計畫(1/1),2,['大專校院'],['行政院']
推動創新及應用科技研究計畫(4/4),2,['前瞻司'],[]
產學研鏈結價值躍升計畫(1/1),2,['形式'],['科技部']
基礎科學研究計畫(1/1),2,"['大專', '長短期']",[]
年輕學者養成計畫(110-113年)(1/4),2,"['構想', '影響力']","['愛因斯坦培植計畫', '107年', '哥倫布計畫']"
科技會報跨部會署科發基金計畫(1/1),2,"['時效性', '預算']",[]
基礎科學研究計畫-國家實驗研究院(2/4),2,['綜效'],['國研院']
園區實驗高級中學業務推展計畫(1/1),2,"['科學園區', '雙語部', '雙語', '高中']",['12年']
公共工程基礎資料庫研究計畫(2/4),3,['價格'],[]
完備我國災害防救法規及災害管理發展趨勢之研究(4/4),3,['義務'],[]
鋼骨鋼筋混凝土構造火害及耐火性能設計研究計畫(4/4),3,"['鋼骨', '鋼筋', '混凝土', '規則', '構造', '鋼管', '火害']",[]
建築先進技術創新開發與推廣應用計畫(4/4),3,"['地震', '工法', '規則', '構造物', '結構物']",[]
